###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59643.537427  20.691  0.817    19   16 c  0   0.69 190.74695  48.37041  7295.40  1498.68 2.36 2.22  83.8 -0.427 19.22 21.78 02a59643o0662c
59644.478086  22.091  2.161     5   11 o  0   1.13 190.74695  48.37041  4114.76  9936.47 2.70 2.57 -44.1 -0.485 19.52 21.17 01a59644o0579o
59644.479921 -22.079  2.226    -5   12 o  0   1.03 190.74695  48.37041  4096.08  9897.38 2.73 2.60 -50.7 -0.481 19.50 21.18 01a59644o0583o
59644.492889 -20.860  0.663   -16   11 o  0   0.94 190.74695  48.37041  4151.81  9971.75 2.72 2.62 -46.0 -0.481 19.52 21.16 01a59644o0609o
59644.498372  22.207  2.519     5   12 o  0   0.95 190.74695  48.37041  4168.72  9853.03 2.77 2.62 -47.4 -0.483 19.52 21.19 01a59644o0621o
59645.474045  20.965  0.792    15   12 o  0   1.00 190.74695  48.37041  4120.13  9935.04 2.83 2.76 -57.9 -0.468 19.46 21.23 01a59645o0575o
59645.475869  22.934  4.538     2   11 o  0   1.29 190.74695  48.37041  4101.04  9895.60 2.84 2.74 -44.3 -0.465 19.51 21.26 01a59645o0579o
59645.478611  22.050  1.645     6    9 o  0   1.18 190.74695  48.37041  4156.87  9972.28 2.76 2.67 -49.0 -0.473 19.51 21.30 01a59645o0585o
59645.486851 -23.944 12.000    -1   12 o  0   1.06 190.74695  48.37041  4172.34  9853.61 2.89 2.77 -50.9 -0.460 19.46 21.28 01a59645o0602o
59647.448753  22.541  3.882     4   14 o  0   1.15 190.74695  48.37041  4112.40  9939.02 3.05 2.80 -37.4 -0.460 19.32 21.00 01a59647o0457o
59647.450578  23.726 10.667     1   12 o  0   1.16 190.74695  48.37041  4093.40  9899.84 2.94 2.75 -41.5 -0.464 19.39 21.09 01a59647o0461o
59647.453348 -24.917 33.000    -0   13 o  0   1.19 190.74695  48.37041  4150.59  9975.87 2.96 2.76 -40.8 -0.459 19.42 21.11 01a59647o0467o
59647.458386  20.479  0.492    23   12 o  0   1.33 190.74695  48.37041  4167.62  9857.82 2.97 2.75 -39.9 -0.460 19.39 21.17 01a59647o0478o
59647.528588 -21.250  1.514   -12   17 c  0   0.94 190.74695  48.37041  7232.73  1575.18 2.44 2.33 -47.1 -0.437 18.99 21.76 02a59647o0466c
59647.532023  22.451  4.385     4   17 c  0   1.15 190.74695  48.37041  7211.95  1536.76 2.37 2.26 -53.7 -0.440 18.99 21.76 02a59647o0473c
59647.560264 -21.218  1.462   -12   17 c  0   1.07 190.74695  48.37041  7270.45  1614.41 2.41 2.30 -52.7 -0.438 18.99 21.78 02a59647o0529c
59647.588922 -20.245  0.538   -29   16 c  0   1.26 190.74695  48.37041  7289.06  1496.27 2.45 2.32 -28.3 -0.437 18.99 21.72 02a59647o0586c
59649.489893  20.193  0.490    30   15 o  0   1.06 190.74695  48.37041 10111.15   195.64 3.01 2.69 -58.7 -0.503 19.35 20.92 01a59649o0523o
59649.493086 -21.071  1.076   -14   15 o  0   1.18 190.74695  48.37041 10131.14   233.37 3.03 2.59 -61.6 -0.509 19.38 20.96 01a59649o0530o
